dim,points,k,itopk_size,time_ms,recall,status
6,500000,40,64,,,error
6,500000,40,64,,,error
6,500000,40,128,,,error
6,500000,40,128,,,error
6,500000,40,128,,,error
6,500000,40,256,,,error
6,500000,40,256,,,error
6,500000,40,256,,,error
6,500000,40,512,,,error
6,500000,40,512,,,error
6,500000,40,512,,,error
7,100000,40,32,,,error
7,100000,40,32,,,error
7,100000,40,32,,,error
7,100000,40,64,147.88798498921096,0.09124524891376495,ok
7,100000,40,64,153.82960997521877,0.16969850659370422,ok
7,100000,40,64,154.608832905069,0.11840249598026276,ok
7,100000,40,128,289.47799396701157,0.19097350537776947,ok
7,100000,40,128,295.3005030285567,0.18440525233745575,ok
7,100000,40,128,301.28006893210113,0.16522975265979767,ok
7,100000,40,256,515.7042159698904,0.21996775269508362,ok
7,100000,40,256,563.3442711550742,0.18700550496578217,ok
7,100000,40,256,615.3011871501803,0.2112867534160614,ok
7,100000,40,512,1062.932315049693,0.2224462479352951,ok
7,100000,40,512,1144.3090059328824,0.17757274210453033,ok
7,100000,40,512,1139.8126450367272,0.2260344922542572,ok
7,500000,40,32,,,error
7,500000,40,32,,,error
7,500000,40,32,,,error
7,500000,40,64,,,error
7,500000,40,64,,,error
7,500000,40,64,,,error
7,500000,40,128,,,error
7,500000,40,128,,,error
7,500000,40,128,,,error
7,500000,40,256,,,error
7,500000,40,256,,,error
7,500000,40,256,,,error
7,500000,40,512,,,error
7,500000,40,512,,,error
7,500000,40,512,,,error
8,100000,40,32,,,error
8,100000,40,32,,,error
8,100000,40,32,,,error
8,100000,40,64,,,error
8,100000,40,64,,,error
8,100000,40,64,,,error
8,100000,40,128,,,error
8,100000,40,128,,,error
8,100000,40,128,,,error
8,100000,40,256,,,error
8,100000,40,256,,,error
8,100000,40,256,,,error
8,100000,40,512,,,error
8,100000,40,512,,,error
8,100000,40,512,,,error
8,500000,40,32,,,error
8,500000,40,32,,,error
8,500000,40,32,,,error
8,500000,40,64,,,error
8,500000,40,64,,,error
8,500000,40,64,,,error
8,500000,40,128,,,error
8,500000,40,128,,,error
8,500000,40,128,,,error
8,500000,40,256,,,error
8,500000,40,256,,,error
8,500000,40,256,,,error
8,500000,40,512,,,error
8,500000,40,512,,,error
8,500000,40,512,,,error
9,100000,40,32,,,error
9,100000,40,32,,,error
9,100000,40,32,,,error
9,100000,40,64,,,error
9,100000,40,64,,,error
9,100000,40,64,,,error
9,100000,40,128,,,error
9,100000,40,128,,,error
9,100000,40,128,,,error
9,100000,40,256,,,error
9,100000,40,256,,,error
9,100000,40,256,,,error
9,100000,40,512,,,error
9,100000,40,512,,,error
9,100000,40,512,,,error
9,500000,40,32,,,error
9,500000,40,32,,,error
9,500000,40,32,,,error
9,500000,40,64,,,error
9,500000,40,64,,,error
9,500000,40,64,,,error
9,500000,40,128,,,error
9,500000,40,128,,,error
9,500000,40,128,,,error
9,500000,40,256,,,error
9,500000,40,256,,,error
9,500000,40,256,,,error
9,500000,40,512,,,error
9,500000,40,512,,,error
9,500000,40,512,,,error
10,100000,40,32,,,error
10,100000,40,32,,,error
10,100000,40,32,,,error
10,100000,40,64,,,error
10,100000,40,64,,,error
10,100000,40,64,,,error
10,100000,40,128,,,error
10,100000,40,128,,,error
10,100000,40,128,,,error
10,100000,40,256,,,error
10,100000,40,256,,,error
10,100000,40,256,,,error
10,100000,40,512,,,error
10,100000,40,512,,,error
10,100000,40,512,,,error
10,500000,40,32,,,error
10,500000,40,32,,,error
10,500000,40,32,,,error
10,500000,40,64,,,error
10,500000,40,64,,,error
10,500000,40,64,,,error
10,500000,40,128,,,error
10,500000,40,128,,,error
10,500000,40,128,,,error
10,500000,40,256,,,error
10,500000,40,256,,,error
10,500000,40,256,,,error
10,500000,40,512,,,error
10,500000,40,512,,,error
10,500000,40,512,,,error
