dim,points,k,tau_query,time_ms,recall_set,recall_dist,status
10,100000,40,0.8,52.61122155934572,0.9995179772377014,0.999524,ok
10,100000,40,0.8,52.6639218442142,0.9995179772377014,0.999524,ok
3,500000,10,0.3,449.12798004224896,0.3777044117450714,0.3777048,ok
3,500000,10,0.3,447.5009422749281,0.37759700417518616,0.3775974,ok
3,500000,10,0.3,448.00537591800094,0.37786179780960083,0.3778622,ok
3,500000,10,0.5,553.3813219517469,0.3895035982131958,0.389504,ok
3,500000,10,0.5,553.0659658834338,0.3894757926464081,0.3894762,ok
3,500000,10,0.5,552.4343205615878,0.38949739933013916,0.3894978,ok
3,500000,10,0.64,605.8188807219267,0.39641979336738586,0.3964202,ok
3,500000,10,0.64,606.2967949546874,0.3966141939163208,0.3966146,ok
3,500000,10,0.64,606.8778140470386,0.39661261439323425,0.396613,ok
3,500000,10,0.8,649.0153321065009,0.40283000469207764,0.4028304,ok
3,500000,10,0.8,649.2306590080261,0.40279021859169006,0.4027906,ok
3,500000,10,0.8,649.0792827680707,0.4027002155780792,0.4027006,ok
3,500000,40,0.3,639.9322878569365,0.3931047022342682,0.3931134,ok
3,500000,40,0.3,639.229588676244,0.3929417133331299,0.3929504,ok
3,500000,40,0.3,638.2359601557255,0.3929377496242523,0.39294645,ok
3,500000,40,0.5,745.6580670550466,0.40062546730041504,0.4006342,ok
3,500000,40,0.5,746.2528920732439,0.4006085693836212,0.4006172,ok
3,500000,40,0.5,745.5530893057585,0.4007793068885803,0.40078805,ok
3,500000,40,0.64,800.1691340468824,0.40552034974098206,0.40552895,ok
3,500000,40,0.64,801.2973968870938,0.4055123031139374,0.40552095,ok
3,500000,40,0.64,802.3416111245751,0.40533921122550964,0.4053477,ok
3,500000,40,0.8,844.9637200683355,0.4098171591758728,0.40982575,ok
3,500000,40,0.8,846.6782909817994,0.40997135639190674,0.40998,ok
3,500000,40,0.8,845.602588262409,0.40977779030799866,0.40978645,ok
3,500000,100,0.3,1048.4220758080482,0.4068978428840637,0.4069132,ok
3,500000,100,0.3,1046.197298914194,0.4070015847682953,0.40701678,ok
3,500000,100,0.3,1044.9338289909065,0.40716516971588135,0.40718042,ok
3,500000,100,0.5,1156.4617287367582,0.41116639971733093,0.4111819,ok
3,500000,100,0.5,1156.8162692710757,0.4110592007637024,0.4110748,ok
3,500000,100,0.5,1159.522317815572,0.4110403060913086,0.41105594,ok
3,500000,100,0.64,1212.8756269812584,0.413688987493515,0.4137047,ok
3,500000,100,0.64,1212.5060679391026,0.4137653708457947,0.41378086,ok
3,500000,100,0.64,1210.924067068845,0.41374972462654114,0.41376536,ok
3,500000,100,0.8,1258.6242500692606,0.41646701097488403,0.41648252,ok
3,500000,100,0.8,1254.7218617983162,0.4163793921470642,0.41639502,ok
3,500000,100,0.8,1254.0467251092196,0.4163515865802765,0.4163672,ok
5,500000,40,0.3,524.636551272124,0.02466925047338009,0.0246698,ok
5,500000,40,0.3,522.3412509076297,0.02451845072209835,0.024519,ok
5,500000,40,0.3,521.455685608089,0.024678699672222137,0.02467925,ok
5,500000,40,0.5,585.7660151086748,0.024989450350403786,0.0249901,ok
5,500000,40,0.5,582.7161567285657,0.02474440075457096,0.02474505,ok
5,500000,40,0.5,583.5085748694837,0.02491685003042221,0.0249175,ok
5,500000,40,0.64,616.7957256548107,0.024949900805950165,0.0249506,ok
5,500000,40,0.64,615.7255219295621,0.02509699948132038,0.0250977,ok
5,500000,40,0.64,616.0571989603341,0.025095250457525253,0.02509595,ok
5,500000,40,0.8,647.0031221397221,0.025068599730730057,0.0250693,ok
5,500000,40,0.8,646.4386940933764,0.025074100121855736,0.0250748,ok
5,500000,40,0.8,646.8694489449263,0.025210950523614883,0.02521165,ok
2,500000,40,0.3,639.0766953118145,0.3930637538433075,0.39307245,ok
2,500000,40,0.3,635.4296780191362,0.3928574025630951,0.3928661,ok
2,500000,40,0.3,635.2003840729594,0.39280566573143005,0.3928143,ok
2,500000,40,0.5,746.1369102820754,0.4006272554397583,0.400636,ok
2,500000,40,0.5,744.3414060398936,0.4006090462207794,0.4006178,ok
2,500000,40,0.5,745.2490418218076,0.40062060952186584,0.40062935,ok
2,500000,40,0.64,804.9940122291446,0.4053676426410675,0.40537625,ok
2,500000,40,0.64,802.6144527830184,0.4054064452648163,0.40541495,ok
2,500000,40,0.64,801.2302150018513,0.4053274989128113,0.4053361,ok
2,500000,40,0.8,842.6731349900365,0.40963810682296753,0.4096468,ok
2,500000,40,0.8,843.5051590204239,0.40998929738998413,0.40999795,ok
2,500000,40,0.8,844.5633901283145,0.4099709689617157,0.4099796,ok
4,500000,40,0.3,640.1328113861382,0.3899402916431427,0.3899486,ok
4,500000,40,0.3,639.5591869950294,0.38997936248779297,0.3899877,ok
4,500000,40,0.3,638.2339312694967,0.3900271952152252,0.39003545,ok
4,500000,40,0.5,747.8084620088339,0.3977402150630951,0.39774875,ok
4,500000,40,0.5,747.6016199216247,0.3976185619831085,0.39762705,ok
4,500000,40,0.5,749.7524679638445,0.39738625288009644,0.3973947,ok
4,500000,40,0.64,803.9231770671904,0.4024575650691986,0.40246585,ok
4,500000,40,0.64,806.5473698079586,0.4022091031074524,0.4022173,ok
4,500000,40,0.64,803.1021850183606,0.40248119831085205,0.4024895,ok
4,500000,40,0.8,845.1143549755216,0.40684130787849426,0.4068495,ok
4,500000,40,0.8,846.7649719677866,0.40685009956359863,0.40685825,ok
4,500000,40,0.8,843.9402622170746,0.4068430960178375,0.4068513,ok
6,500000,40,0.3,496.23830802738667,0.9470239877700806,0.94712755,ok
