dim,points,k,itopk_size,time_ms,recall_set,recall_dist,status
3,500000,40,256,1152.5004780851305,0.7547054290771484,0.7551232,ok
3,500000,40,256,1136.901407968253,0.7671533226966858,0.76775265,ok
3,500000,40,256,1149.9715861864388,0.7634958624839783,0.76408565,ok
3,500000,40,512,3473.6319198273122,0.8159990906715393,0.81640355,ok
3,500000,40,512,3500.0730147585273,0.8165602684020996,0.81696465,ok
3,500000,40,512,3474.719179328531,0.8185147643089294,0.8192648,ok
3,500000,100,32,,,,error
3,500000,100,32,,,,error
3,500000,100,32,,,,error
3,500000,100,64,,,,error
3,500000,100,64,,,,error
3,500000,100,64,,,,error
3,500000,100,128,558.9375011622906,0.7109495997428894,0.71106796,ok
3,500000,100,128,556.5875279717147,0.6912038326263428,0.69131072,ok
3,500000,100,128,557.7191971242428,0.7026311159133911,0.70273088,ok
3,500000,100,256,1136.8470806628466,0.7466230392456055,0.74668614,ok
3,500000,100,256,1144.3082666955888,0.7623305320739746,0.76244542,ok
3,500000,100,256,1142.9915721528232,0.7406902313232422,0.74083546,ok
3,500000,100,512,3479.881369974464,0.8062164187431335,0.80634288,ok
3,500000,100,512,3502.946104388684,0.8160142302513123,0.81625604,ok
3,500000,100,512,3511.5415048785508,0.8106420636177063,0.81089728,ok
5,500000,40,32,,,,error
5,500000,40,32,,,,error
5,500000,40,32,,,,error
5,500000,40,64,,,,error
5,500000,40,64,,,,error
5,500000,40,64,,,,error
5,500000,40,128,,,,error
5,500000,40,128,,,,error
5,500000,40,128,627.618117723614,0.005139850080013275,0.00514215,ok
5,500000,40,256,1427.9075530357659,0.016200650483369827,0.01621275,ok
5,500000,40,256,1756.065330002457,0.008500049822032452,0.00851335,ok
5,500000,40,256,,,,error
5,500000,40,512,,,,error
5,500000,40,512,,,,error
5,500000,40,512,,,,error
2,500000,40,32,,,,error
2,500000,40,32,,,,error
2,500000,40,32,,,,error
2,500000,40,64,312.7798121422529,0.6614146828651428,0.6615734,ok
2,500000,40,64,312.99298722296953,0.6624725461006165,0.6627119,ok
2,500000,40,64,312.22921097651124,0.6400777697563171,0.640539,ok
2,500000,40,128,558.2356271333992,0.6914662718772888,0.69199,ok
2,500000,40,128,557.9842119477689,0.6966142058372498,0.69709515,ok
2,500000,40,128,556.7928589880466,0.7065365314483643,0.706754,ok
2,500000,40,256,1134.7776330076158,0.77215975522995,0.77292955,ok
2,500000,40,256,1135.558018926531,0.766852617263794,0.7673276,ok
2,500000,40,256,1141.371632926166,0.7501864433288574,0.75068765,ok
2,500000,40,512,3503.2840468920767,0.8077328205108643,0.80815495,ok
2,500000,40,512,3492.8866950795054,0.8084834814071655,0.8091264,ok
2,500000,40,512,3473.493506666273,0.8179998397827148,0.81838565,ok
4,500000,40,32,,,,error
4,500000,40,32,,,,error
4,500000,40,32,,,,error
4,500000,40,64,312.9185428842902,0.6538240313529968,0.65413085,ok
4,500000,40,64,313.188592903316,0.6236712336540222,0.6241203,ok
4,500000,40,64,312.55580577999353,0.6362518072128296,0.63654515,ok
4,500000,40,128,557.9483741894364,0.6932957172393799,0.6935065,ok
4,500000,40,128,559.800065588206,0.6740607619285583,0.6744081,ok
4,500000,40,128,560.0220458582044,0.6988245844841003,0.6992167,ok
4,500000,40,256,1139.688934199512,0.7505171298980713,0.75082625,ok
4,500000,40,256,1140.85442898795,0.7240428924560547,0.72436275,ok
4,500000,40,256,1131.1771972104907,0.744255781173706,0.7447541,ok
4,500000,40,512,3495.0205152854323,0.7858765125274658,0.78638895,ok
4,500000,40,512,3530.175535939634,0.7486910820007324,0.7491057,ok
4,500000,40,512,3558.542318176478,0.7760709524154663,0.77658145,ok
6,500000,40,32,,,,error
6,500000,40,32,,,,error
6,500000,40,32,,,,error
6,500000,40,64,,,,error
6,500000,40,64,,,,error
6,500000,40,64,,,,error
6,500000,40,128,,,,error
6,500000,40,128,,,,error
6,500000,40,128,,,,error
6,500000,40,256,,,,error
6,500000,40,256,,,,error
6,500000,40,256,,,,error
6,500000,40,512,,,,error
6,500000,40,512,,,,error
6,500000,40,512,,,,error
7,500000,40,32,,,,error
7,500000,40,32,,,,error
7,500000,40,32,,,,error
7,500000,40,64,,,,error
7,500000,40,64,,,,error
7,500000,40,64,,,,error
7,500000,40,128,,,,error
7,500000,40,128,,,,error
