algorithm,dim,points,k,memory_mb,status
cuvs,5,4500000,40,,error
cuvs,2,4500000,40,1258.2912,ok
cuvs,4,4500000,40,,error
cuvs,6,4500000,40,,error
cuvs,7,4500000,40,,error
cuvs,8,4500000,40,,error
cuvs,9,4500000,40,,error
cuvs,10,4500000,40,,error
cuvs,3,5000000,10,,error
cuvs,3,5000000,40,1417.674752,ok
cuvs,5,5000000,40,,error
cuvs,2,5000000,40,,error
cuvs,4,5000000,40,,error
cuvs,6,5000000,40,,error
cuvs,7,5000000,40,,error
cuvs,8,5000000,40,,error
cuvs,9,5000000,40,,error
cuvs,10,5000000,40,,error
ggnn,3,100000,10,35.65158399999996,ok
ggnn,3,100000,40,33.554431999999906,ok
ggnn,3,100000,100,33.554431999999906,ok
ggnn,5,100000,40,33.554431999999906,ok
ggnn,2,100000,40,14.680063999999902,ok
ggnn,4,100000,40,33.554431999999906,ok
ggnn,6,100000,40,35.65158399999996,ok
ggnn,7,100000,40,35.65158399999996,ok
ggnn,8,100000,40,35.65158399999996,ok
ggnn,9,100000,40,35.65158399999996,ok
ggnn,10,100000,40,35.65158399999996,ok
ggnn,3,500000,10,77.59462400000007,ok
ggnn,3,500000,40,77.59462400000007,ok
ggnn,3,500000,100,77.59462400000007,ok
ggnn,5,500000,40,81.78892799999994,ok
ggnn,2,500000,40,75.49747200000002,ok
ggnn,4,500000,40,79.69177599999989,ok
ggnn,6,500000,40,75.49747200000002,ok
ggnn,7,500000,40,79.69177599999989,ok
ggnn,8,500000,40,83.88607999999999,ok
ggnn,9,500000,40,88.08038399999987,ok
ggnn,10,500000,40,92.27468799999997,ok
ggnn,3,1000000,10,125.82911999999988,ok
ggnn,3,1000000,40,125.82911999999988,ok
ggnn,3,1000000,100,125.82911999999988,ok
ggnn,5,1000000,40,142.60633600000006,ok
ggnn,2,1000000,40,130.02342399999998,ok
ggnn,4,1000000,40,134.21772799999985,ok
ggnn,6,1000000,40,150.99494400000003,ok
ggnn,7,1000000,40,159.383552,ok
ggnn,8,1000000,40,167.77215999999999,ok
ggnn,9,1000000,40,176.16076799999996,ok
ggnn,10,1000000,40,184.54937599999994,ok
ggnn,3,1500000,10,186.646528,ok
ggnn,3,1500000,40,186.646528,ok
ggnn,3,1500000,100,186.646528,ok
ggnn,5,1500000,40,211.81235199999992,ok
