size,k,faiss_time,fgc_time,count,dimension
30000,100,51.65457725524902,26.79288387298584,2,3
30000,10,21.90852165222168,28.363585472106937,2,5
30000,40,32.02331066131592,36.69548034667969,2,5
30000,100,50.81760883331299,53.89404296875,2,5
40000,10,38.109540939331055,23.42867851257324,2,3
40000,40,54.24237251281738,16.057968139648438,2,3
40000,100,81.62093162536621,34.62851047515869,2,3
40000,10,33.37299823760986,46.35977745056152,2,5
40000,40,53.554415702819824,45.012474060058594,2,5
40000,100,72.74675369262695,62.97469139099121,2,5
50000,10,52.199602127075195,14.079928398132324,2,3
50000,40,73.219895362854,15.505552291870115,2,3
50000,100,99.6478796005249,25.638699531555176,2,3
50000,10,48.88617992401123,52.16193199157715,2,5
50000,40,78.29856872558594,65.70613384246826,2,5
50000,100,107.45489597320557,94.3378210067749,2,5
60000,10,67.51561164855957,13.77713680267334,2,3
60000,40,98.86324405670166,25.06566047668457,2,3
60000,100,136.17491722106934,41.535377502441406,2,3
60000,10,69.05972957611084,63.91203403472901,2,5
60000,40,93.57500076293944,81.92181587219238,2,5
60000,100,136.75570487976074,98.59132766723631,2,5
70000,10,96.32933139801024,19.965648651123047,2,3
70000,40,108.06739330291748,25.8561372756958,2,3
70000,100,176.52618885040283,34.012675285339355,2,3
70000,10,85.96134185791016,48.99585247039795,2,5
70000,40,134.28103923797607,91.49396419525146,2,5
70000,100,174.38864707946777,138.9979124069214,2,5
80000,10,126.90556049346924,16.24894142150879,2,3
80000,40,160.58337688446045,28.331279754638672,2,3
80000,100,213.2657766342163,39.25681114196777,2,3
80000,10,119.12775039672852,64.2932653427124,2,5
80000,40,148.3992338180542,86.26353740692139,2,5
80000,100,212.36681938171387,174.8642921447754,2,5
90000,10,170.4087257385254,20.57468891143799,2,3
90000,40,192.79778003692627,26.02779865264893,2,3
90000,100,259.39786434173584,40.23277759552002,2,3
90000,10,162.8974676132202,64.75424766540527,2,5
90000,40,184.38994884490967,121.94061279296876,2,5
90000,100,255.4178237915039,161.9044542312622,2,5
100000,10,176.62310600280762,15.114545822143556,2,3
100000,40,213.14358711242676,26.58975124359131,2,3
100000,100,279.3257236480713,39.22545909881592,2,3
100000,10,161.02778911590576,70.13440132141113,2,5
100000,40,236.3553047180176,115.4259443283081,2,5
100000,100,282.7664613723755,160.49206256866455,2,5
150000,10,390.0785446166992,15.880465507507324,2,3
150000,40,507.5607299804687,35.24959087371826,2,3
150000,100,672.1112728118896,50.09162425994873,2,3
150000,10,403.90515327453613,132.06744194030762,2,5
150000,40,529.2038917541504,179.14140224456787,2,5
150000,100,677.5209903717041,278.1292200088501,2,5
200000,10,649.6268510818481,22.7278470993042,2,3
200000,40,844.5862531661987,35.84003448486328,2,3
200000,100,1075.3511190414429,80.36184310913086,2,3
200000,10,601.355791091919,149.0246057510376,2,5
200000,40,890.1276588439941,198.6091136932373,2,5
200000,100,1061.1095428466797,350.93605518341064,2,5
250000,10,1060.5289936065674,28.578758239746097,2,3
250000,40,1314.8220777511597,24.837017059326172,2,3
250000,100,1571.0166692733765,87.86606788635254,2,3
250000,10,1090.5739068984983,254.3661594390869,2,5
250000,40,1333.634376525879,342.220664024353,2,5
250000,100,1575.595498085022,463.9670848846435,2,5
300000,10,1440.1863813400269,30.4943323135376,2,3
300000,40,1866.5077686309817,42.69850254058838,2,3
300000,100,2225.6970405578613,78.41777801513672,2,3
300000,10,1451.651692390442,288.5094881057739,2,5
300000,40,1932.9214096069336,414.0291213989258,2,5
300000,100,2234.000563621521,624.3971586227417,2,5
350000,10,2029.195427894592,38.29681873321533,2,3
350000,40,2553.218126296997,52.17623710632324,2,3
350000,100,2938.833236694336,109.6937656402588,2,3
350000,10,2211.1904621124268,409.0468883514404,2,5
350000,40,2577.0413875579834,504.7268867492676,2,5
350000,100,3147.935628890991,711.4260196685791,2,5
400000,10,2529.2344093322754,47.96862602233887,2,3
400000,40,3637.831687927246,67.95072555541992,2,3
400000,100,3799.11470413208,130.56910037994385,2,3
400000,10,2626.279354095459,373.2469081878662,2,5
400000,40,3343.311548233032,560.7658624649048,2,5
400000,100,3735.912561416626,874.3622303009033,2,5
450000,10,3257.544994354248,59.59117412567139,2,3
450000,40,4248.589038848877,73.54867458343506,2,3
450000,100,4669.213891029358,121.67668342590332,2,3
450000,10,3234.404683113098,424.8006343841553,2,5
450000,40,4276.975870132446,686.0769987106323,2,5
450000,100,4622.748374938965,1023.3423709869384,2,5
500000,10,3995.687246322632,43.49660873413086,2,3
500000,40,5135.652303695679,74.31888580322266,2,3
500000,100,5662.250638008118,184.59033966064453,2,3
500000,10,4026.950240135193,530.5373668670654,2,5
500000,40,5177.084565162659,744.9504137039185,2,5
500000,100,5651.562213897705,1213.1543159484863,2,5
600000,10,5867.40517616272,88.4331464767456,2,3
600000,40,7358.116149902344,87.92376518249512,2,3
600000,100,8048.324108123779,179.2590618133545,2,3
600000,10,5772.148489952087,707.4161767959595,2,5
600000,40,7328.330039978027,1021.251916885376,2,5
600000,100,8038.363456726074,1680.6303262710571,2,5
700000,10,7810.887455940247,102.02407836914062,2,3
