dim,points,k,time_ms,status
5,4000000,40,68374.43940900266,ok
5,4000000,40,74694.54218819737,ok
5,4000000,40,74730.3625929635,ok
5,4000000,40,74708.98955804296,ok
5,4000000,40,72224.84855703078,ok
3,4500000,10,87262.73070205934,ok
3,4500000,10,91443.9966159407,ok
3,4500000,10,91455.85303008556,ok
3,4500000,10,84205.6260809768,ok
3,4500000,10,91408.99842604995,ok
3,4500000,10,91424.10763981752,ok
3,4500000,10,90687.91165202856,ok
3,4500000,10,84714.43047909997,ok
3,4500000,40,95417.81558212824,ok
3,4500000,40,95183.84419893846,ok
3,4500000,40,87323.14299605787,ok
3,4500000,40,33659.15998304263,ok
3,4500000,40,25946.5227490291,ok
3,4500000,40,25961.450387025252,ok
3,4500000,40,25993.15079092048,ok
3,4500000,40,25962.61201798916,ok
3,4500000,100,30661.46379010752,ok
3,4500000,100,30679.304317804053,ok
3,4500000,100,30665.874103084207,ok
3,4500000,100,30691.786316921934,ok
3,4500000,100,30672.85112803802,ok
3,4500000,100,31199.200698873028,ok
3,4500000,100,30729.931980138645,ok
3,4500000,100,30623.79552796483,ok
5,4500000,40,23371.96065299213,ok
5,4500000,40,23372.806227998808,ok
5,4500000,40,23373.214701889083,ok
5,4500000,40,23368.097834056243,ok
5,4500000,40,23372.069445904344,ok
5,4500000,40,23376.155903097242,ok
5,4500000,40,23370.394875993952,ok
5,4500000,40,23370.308318873867,ok
3,5000000,10,26813.359333202243,ok
3,5000000,10,26791.05182294734,ok
3,5000000,10,26799.778720131144,ok
3,5000000,10,26813.33072599955,ok
3,5000000,10,26811.785130063072,ok
3,5000000,10,26815.81827183254,ok
3,5000000,10,26820.638705976307,ok
3,5000000,10,26791.241850936785,ok
3,5000000,40,28715.40126693435,ok
3,5000000,40,28734.320539049804,ok
3,5000000,40,28740.94767589122,ok
3,5000000,40,28773.33872509189,ok
3,5000000,40,28741.060289088637,ok
3,5000000,40,28748.73491213657,ok
3,5000000,40,28739.888227079064,ok
3,5000000,40,28748.75394697301,ok
3,5000000,100,33972.96082088724,ok
3,5000000,100,34003.08694713749,ok
3,5000000,100,33968.814101070166,ok
3,5000000,100,33995.80785492435,ok
3,5000000,100,33975.36291880533,ok
3,5000000,100,33978.78106101416,ok
3,5000000,100,33988.36501198821,ok
3,5000000,100,33993.972276104614,ok
5,5000000,40,27178.231456084177,ok
5,5000000,40,27164.6053888835,ok
5,5000000,40,27164.439158979803,ok
5,5000000,40,27183.893645880744,ok
5,5000000,40,27174.085673177615,ok
5,5000000,40,27167.14918008074,ok
5,5000000,40,27171.07048095204,ok
5,5000000,40,27167.741218116134,ok
2,5000000,40,28690.960752079263,ok
2,5000000,40,28741.261709015816,ok
2,5000000,40,28720.03792412579,ok
2,5000000,40,28724.297153996304,ok
2,5000000,40,28708.426564000547,ok
2,5000000,40,28726.617159089074,ok
2,5000000,40,28749.294803012162,ok
2,5000000,40,28761.192567879334,ok
4,5000000,40,30976.006458047777,ok
4,5000000,40,50015.877375146374,ok
4,5000000,40,48764.06129216775,ok
4,5000000,40,48823.89046996832,ok
4,5000000,40,48884.41666983999,ok
4,5000000,40,48720.85116105154,ok
4,5000000,40,48833.18007714115,ok
4,5000000,40,48786.04796202853,ok
6,5000000,40,23761.623424012214,ok
6,5000000,40,23885.419900994748,ok
6,5000000,40,23801.13890999928,ok
6,5000000,40,23768.5581271071,ok
6,5000000,40,23763.45823891461,ok
6,5000000,40,23713.01153721288,ok
6,5000000,40,23893.706775968894,ok
6,5000000,40,23676.81039008312,ok
7,5000000,40,21480.905858799815,ok
7,5000000,40,21500.151679851115,ok
7,5000000,40,21547.51053499058,ok
7,5000000,40,21558.97969310172,ok
7,5000000,40,21490.163573995233,ok
7,5000000,40,21540.187261998653,ok
7,5000000,40,21532.03835617751,ok
7,5000000,40,21445.871878881007,ok
8,5000000,40,22407.64348511584,ok
8,5000000,40,22531.079234089702,ok
8,5000000,40,22517.534686019644,ok
8,5000000,40,22480.500197038054,ok
8,5000000,40,22498.51283011958,ok
8,5000000,40,22500.00945897773,ok
8,5000000,40,22415.162980090827,ok
8,5000000,40,22404.561361996457,ok
9,5000000,40,22561.387661146,ok
9,5000000,40,22640.978801995516,ok
9,5000000,40,22595.215908950195,ok
9,5000000,40,22599.188381107524,ok
9,5000000,40,22582.46218599379,ok
9,5000000,40,22648.321186192334,ok
9,5000000,40,22546.400282997638,ok
9,5000000,40,22606.40553291887,ok
10,5000000,40,22649.560593999922,ok
10,5000000,40,22654.280578019097,ok
10,5000000,40,22591.148142004386,ok
10,5000000,40,22593.552536098287,ok
10,5000000,40,22596.910739084706,ok
10,5000000,40,22605.872120009735,ok
10,5000000,40,22635.346999857575,ok
10,5000000,40,22599.023025948554,ok
