size,k,scann_time,fgc_time,count,fixed_dimension,dimension,fixed_size
4100000.0,40,477736.6321086883,213013.81635665896,5,10.0,,
4150000.0,40,518848.14047813416,215501.70707702637,5,10.0,,
4200000.0,40,499553.72190475464,234975.13055801392,5,10.0,,
4250000.0,40,505773.5321521759,225900.54988861084,5,10.0,,
4300000.0,40,525028.8183689117,231534.1999530792,5,10.0,,
4350000.0,40,544766.6773796082,247123.1799125671,5,10.0,,
4400000.0,40,594409.9621772766,241285.2568626404,5,10.0,,
4450000.0,40,542228.1663417816,245397.09401130676,5,10.0,,
4500000.0,40,553554.7676086426,252567.0108795166,5,10.0,,
4550000.0,40,563617.5153255463,273588.06252479553,5,10.0,,
4600000.0,40,572748.8677501678,258813.73262405396,5,10.0,,
4650000.0,40,580390.0694847107,266450.02007484436,5,10.0,,
4700000.0,40,596730.4961681366,270785.1252555847,5,10.0,,
4750000.0,40,625990.4067516327,277333.8210582733,5,10.0,,
4800000.0,40,612260.2951526642,279382.70807266235,5,10.0,,
4850000.0,40,620785.4959964752,288281.7804813385,5,10.0,,
4900000.0,40,641103.2810211182,304312.4666213989,5,10.0,,
4950000.0,40,663226.978302002,314342.0686721802,5,10.0,,
5000000.0,40,659339.0805721283,322571.31481170654,5,10.0,,
,10,2489.8468255996704,27.55305767059327,10,,2.0,100000.0
,10,2535.441374778747,13.009476661682127,10,,3.0,100000.0
,10,2541.308498382569,45.84469795227051,10,,4.0,100000.0
,10,2586.5535259246826,58.2594633102417,10,,5.0,100000.0
,10,2691.2508726119995,103.5318374633789,10,,6.0,100000.0
,10,2730.3185462951656,144.08721923828125,10,,7.0,100000.0
,10,2747.9313373565674,185.20660400390625,10,,8.0,100000.0
,10,2803.031253814697,260.37533283233637,10,,9.0,100000.0
,10,2831.4780235290527,304.22916412353527,10,,10.0,100000.0
,10,2877.5218009948726,348.9006519317627,10,,11.0,100000.0
,10,2913.18109035492,573.3078718185425,10,,12.0,100000.0
,10,3032.087588310242,639.0823364257812,10,,13.0,100000.0
,10,2979.587888717652,808.4032773971558,10,,14.0,100000.0
,10,3044.7227239608765,862.3119831085205,10,,15.0,100000.0
,10,3038.5968446731567,1398.3325004577637,10,,16.0,100000.0
,10,3128.916358947754,1282.6604604721072,10,,17.0,100000.0
,10,3108.487868309021,1434.8289966583254,10,,18.0,100000.0
,10,3241.6194200515747,1400.9783267974851,10,,19.0,100000.0
,10,3230.323195457459,1539.5163297653205,10,,20.0,100000.0
,10,3328.153705596924,1784.8004341125488,10,,21.0,100000.0
,10,3280.6917190551767,2432.356286048889,10,,22.0,100000.0
,10,3367.898917198182,2250.469136238098,10,,23.0,100000.0
,10,3377.163791656494,2353.0878782272343,10,,24.0,100000.0
,10,3420.2564239501953,2714.9537801742554,10,,25.0,100000.0
,10,3427.584385871887,3120.9466457366943,10,,26.0,100000.0
,10,3507.918167114258,3135.760974884033,10,,27.0,100000.0
,10,3516.291284561157,3318.8140153884888,10,,28.0,100000.0
,10,3614.5437955856337,3352.4041175842276,10,,29.0,100000.0
,10,3592.482042312622,3930.678892135621,10,,30.0,100000.0
,10,3678.3706188201904,3870.9758043289185,10,,31.0,100000.0
,10,3699.519824981688,5895.526599884033,10,,32.0,100000.0
,10,3785.0242137908926,3635.0383043289185,10,,33.0,100000.0
,10,3953.1832218170175,4632.193851470947,10,,34.0,100000.0
,10,3861.6193532943735,4790.763354301453,10,,35.0,100000.0
,10,3859.256529808045,4721.887588500977,10,,36.0,100000.0
,10,3915.181326866149,5129.085946083069,10,,37.0,100000.0
,10,3935.646772384642,5330.553030967712,10,,38.0,100000.0
,10,3972.074246406555,5357.919073104858,10,,39.0,100000.0
,10,3985.506129264831,5052.581334114075,10,,40.0,100000.0
,10,4120.359230041504,5168.766903877258,10,,41.0,100000.0
,10,4150.753593444824,5950.430703163147,10,,42.0,100000.0
,10,4244.545674324036,6575.076484680176,10,,43.0,100000.0
,10,4211.368036270142,5519.955348968506,10,,44.0,100000.0
,10,4336.741471290588,6921.874022483826,10,,45.0,100000.0
,10,4348.399710655212,6462.326955795288,10,,46.0,100000.0
,10,4422.455477714539,5487.477135658264,10,,47.0,100000.0
,10,4439.573669433594,8224.986338615417,10,,48.0,100000.0
,10,4460.436964035034,6269.444489479065,10,,49.0,100000.0
,10,4445.581388473512,7165.378904342651,10,,50.0,100000.0
,10,4529.215288162232,7396.563529968262,10,,51.0,100000.0
,10,4525.168538093567,7359.368300437927,10,,52.0,100000.0
,10,4644.917559623718,7837.700080871582,10,,53.0,100000.0
,10,4661.77363395691,7788.396596908569,10,,54.0,100000.0
,10,4770.580077171326,7738.983798027039,10,,55.0,100000.0
,10,4848.707389831543,6998.344421386719,10,,56.0,100000.0
,10,4948.793864250183,7427.46889591217,10,,57.0,100000.0
,10,4980.9659242630005,7777.678751945496,10,,58.0,100000.0
,10,5046.186327934265,7358.508801460266,10,,59.0,100000.0
,10,4946.861386299133,7759.496593475342,10,,60.0,100000.0
,10,5069.264316558838,8067.041254043579,10,,61.0,100000.0
,10,5027.171468734741,8072.11971282959,10,,62.0,100000.0
,10,5117.17712879181,8291.405177116394,10,,63.0,100000.0
,10,5194.660687446594,12107.283830642698,10,,64.0,100000.0
